'n	@
a	A:
aag	A: x
aah	A:
aai	A:i
aaklige	A: k l @ x @
aalmoese	A: l m u s @
aaltjie	A: l k i
aalwyn	A: l v @i n
aalwyne	A: l v @i n @
aambeie	A: m b @i @
aan	A: n
aanbetref	A: n b @ t r E f
aanbeveel	A: n b @ f i@ l
aanbeveling	A: n b @ f i@ l @ N
aanbevelinge	A: n b @ f i@ l @ N @
aanbevelings	A: n b @ f i@ l @ N s
aanbevole	A: n b @ f u@ l @
aanbid	A: n b @ t
aanbidders	A: n b @ d @ r s
aanbidding	A: n b @ d @ N
aanbied	A: n b i t
aanbieder	A: n b i d @ r
aanbieders	A: n b i d @ r s
aanbieding	A: n b i d @ N
aanbiedinge	A: n b i d @ N @
aanbiedings	A: n b i d @ N s
aanbiedingsmetodes	A: n b i d @ N s m @ t u@ d @ s
aanbiedingswyse	A: n b i d @ N s v @i s @
aanblaas	A: n b l A: s
aanbly	A: n b l @i
aanbod	A: n b O t
aanbodkromme	A: n b O t k r O m @
aanbou	A: n b @u
aanbouing	A: n b @u @ N
aanbreek	A: n b r i@ k
aanbring	A: n b r @ N
aand	A: n t
aandadig	A: n d A: d @ x
aandadigheid	A: n d A: d @ x h\ @i t
aandag	A: n d a x
aande	A: n d @
aandeel	A: n d i@ l
aandeelhouding	A: n d i@ l h\ @u d @ N
aandeelhoudings	A: n d i@ l h\ @u d @ N s
aandeelhouer	A: n d i@ l h\ @u @ r
aandeelhouers	A: n d i@ l h\ @u @ r s
aandeelhouersbelang	A: n d i@ l h\ @u @ r s b @ l a N
aandeelmark	A: n d i@ l m a r k
aandeelmarkte	A: n d i@ l m a r k t @
aandeelprys	A: n d i@ l p r @i s
aandeelpryse	A: n d i@ l p r @i s @
aandele	A: n d i@ l @
aandelebeleggings	A: n d i@ l @ b @ l { x @ N s
aandelebeurs	A: n d i@ l @ b 2: r s
aandelebeurse	A: n d i@ l @ b 2: r s @
aandelefonds	A: n d i@ l @ f O n t s
aandelekapitaal	A: n d i@ l @ k a p i t A: l
aandelemakelaar	A: n d i@ l @ m A: k @ l A: r
aandelemark	A: n d i@ l @ m a r k
aandelemarkte	A: n d i@ l @ m a r k t @
aandeleportefeulje	A: n d i@ l @ p O r t @ f y l j @
aandelepryse	A: n d i@ l @ p r @i s @
aandelesertifikate	A: n d i@ l @ s { r t i f i k A: t @
aandeletransaksies	A: n d i@ l @ t r a n s a k s i s
aandeletrusts	A: n d i@ l @ t r 9 s t s
aandenking	A: n d E N k @ N
aandenkings	A: n d E N k @ N s
aandete	A: n t i@ t @
aandetes	A: n t i@ t @ s
aandjie	A:i N k i
aandlug	A: n t l 9 x
aandoen	A: n d u n
aandra	A: n d r A:
aandrang	A: n d r a N
