&	and
A-G	Auditor General
AARTO	Adjudication of Road Traffic Offences
ABC	Activity Based Costing
ABET	Adult Basic Education
ABET	Adult Basic Education and Training
ABS	Access and Benefit Sharing
AC	Audit Committee
ACA	Austrian Court of Audit
ACC	Air Cooled Condenser
ACCESS	Applied Centre for Climate and Earth Systems Science
ACCORD	African Center for the Constructive Resolution of Disputes
ACDP	African Christian Democratic Party
ACIP	Accelerated Community Infrastructure Programme
ACIP	Accelerated Community Infrastructure Project
ACMS	African Centre for Migration and Society
ACP-EU	African Caribbean Pacific European Union
ACSA	Airports Company South Africa
AD	Assistant Director
ADA	Agribusiness Development Agency
ADARDI	Assets Disposal and Regularization Directorate
ADFT	Alexkor Development Foundation Trust
ADR	Alternative Dispute Resolution
ADS	Agricultural Development Support
ADs	Assistant Directors
AEC	African Economic Community
AENE	Adjusted Estimates of National Expenditure
AET	Adult Education Training
AET	Adult Education and Training
AFCON	Africa Cup of Nations
AFCON	African Cup of Nations
AFM	Atomic Force Microscope
AFS	Annual Financial Statements
AFSA	Aids Foundation South Africa
AFT	Advocates for Transformation
AFUR	African Forum for Utility Regulators
AG	Auditor General
AG-SA	Auditor General of South Africa
AGIS	Agricultural Georeferenced Information System
AGM	Annual General Meeting
AGSA	Auditor General South Africa
AGSA	Auditor General of South Africa
AIDS	Acquired Immune Deficiency Syndrome
AIE	Authority to Incur Expenditure
AIM	Africa Integrated Maritime
AIMS	Artisans Information Management System
AISA	Africa Institute of South Africa
ALMPs	Active Labour Market Programmes
ALOS	Average Length of Stay
AMA	American Medical Association
AMAC	Arts and Media Access Centre
AMC	Academic Medical Centre
AMCs	Academic Medical Centres
AMD	Acid Mine Drainage
AMD	Advanced Materials Division
AML	Anti Money Laundering
AMSA	Apparel Manufacturers of South Africa
ANA	Annual National Assessment
ANAs	Annual National Assessments
ANC	African National Congress
ANCYL	char_latin_small_letter_a char_latin_small_letter_n char_latin_small_letter_c Youth League
ANSCO	National Association of Copper Supervisors
AOC	Argentine Olympic Committee
APAC	Association of Public Accounts Committees
APDev	African Platform for Development Effectiveness
APH	Animal Production & Health
API	Animal Production Institute
APP	Advanced Passenger Processing
APP	Annual Performance Plan
APPs	Annual Performance Plans
APR	Annual Progress Report
APRM	African Peer Review Mechanism
APU	African Parliamentary Union
AQA	Air Quality Act
ARC	Agricultural Research Council
ARC	All Residence Committee
ARCs	All Residence Committees
ARMC	African Resource Management Constellation
ARP	Alexandra Renewal Programme
ART	Anti Retroviral Therapy
ART	Anti Retroviral Treatment
ART	Assisted Reproduction Technologies
ARV	Anti Retroviral
ASA	Agrement South Africa
ASB	Accounting Standards Board
ASB	Accounting Standards Board of South Africa
ASB	Army Support Base
ASEAN	Association of South East Asian Nations
ASGISA	Accelerated and Shared Growth Initiative of South Africa
ASGP	Association of Secretaries General of Parliaments
ASIDI	Accelerated School Infrastructure Delivery Initiative
ASIDI	Accelerated School Infrastructure Development Initiative
ASIDI	Accelerated Schools Infrastructure Delivery Initiative
ASIDI	Accelerated Schools Infrastructure Development Initiative
ASISA	Association for Saving and Investment in South Africa
ASLC	Air Service Licensing Council
ASSAF	Academy of Science of South Africa
ASSAf	Academy of Science of South Africa
ASWSD	Accelerating Sustainable Water Service Delivery
ATAF	Administration Forum
ATAF	African Tax Administration Forum
ATC	Announcement Tablings and Committee
ATD	Awaiting Trial Detainee
ATDs	Awaiting Trial Detainees
ATM	African Traditional Medicines
ATM	Automatic Teller Machine
ATNS	Air Traffic and Navigation Services
ATR	Army Territorial Reserve
ATS	Amphetamine Type Stimulants
AU	African Union
AUC	African Union Commission
AUM	Assets Under Management
AVL	Automated Vehicle Location
AVL	Automated Vehicle Location Systems
AfDB	African Development Bank
AgriSA	Agri South Africa
AgriSETA	Agricultural Sector Education and Training Authority
Armscor	Armaments Corporation of South Africa
AsgiSA	Accelerated and Shared Growth Initiative of South Africa
Azapo	Azanian People's Organisation
B-BBEE	Broad Based Black Economic Empowerment
B.SW	Bachelor of Social Work
BA	Bundesagentur fur Arbeit
BAC	Bid Adjudication Committee
BAC	Budget and Appropriations Committee
BACSA	Business Against Crime SA
BANC	Basic Antenatal Care
BAS	Basic Accounting System
BASA	Banking Association of SA
BBBEE	Broad Base Black Economic Empowerment
