can't	k> a n t>
don't	l` O n t>
cox	k> O k> s
sox	s O k> s
zip	s i p>
zen	s E n
ven	B E n
vin	B i n
quick	k> w i k>
quin	k> w i n
quilt	k> w i l t>
aba	a B a
abagana	a B a G a n a
abagane	a B a G a n E
abaganya	a B a G a J a
abaganywa	a B a G a J w a
abago	a B a G O
abego	a B E G O
abela	a B E l a
abelago	a B E l a G O
abelana	a B E l a n a
abelanago	a B E l a n a G O
abelane	a B E l a n E
abelanwa	a B E l a n w a
abele	a B E l E
abelwa	a B E l w a
abelwago	a B E l w a G O
abelwe	a B E l w E
abeng	a B E N
abetše	a B E tS> E
abetšego	a B E tS> E G O
abetšwe	a B E tS> w E
abetšwego	a B E tS> w E G O
abile	a B i l E
abilego	a B i l E G O
abilwe	a B i l w E
abilwego	a B i l w E G O
abiwa	a B i w a
abiwago	a B i w a G O
abjago	a BZ a G O
abje	a BZ E
abula	a B u l a
adilego	a l` i l E G O
adilwe	a l` i l w E
adilwego	a l` i l w E G O
adima	a l` i m a
adimago	a l` i m a G O
adimana	a l` i m a n a
adimanago	a l` i m a n a G O
adime	a l` i m E
adimile	a l` i m i l E
adimilego	a l` i m i l E G O
adimilwe	a l` i m i l w E
adimilwego	a l` i m i l w E G O
adimiša	a l` i m i S a
adingwa	a l` i N w a
adingwago	a l` i N w a G O
ae	a E
aena	a E n a
aene	a E n E
afa	a f a
afe	a f E
aga	a G a
agago	a G a G O
agang	a G a N
agee	a G E E
agega	a G E G a
agegago	a G E G a G O
agegile	a G E G i l E
agela	a G E l a
agelago	a G E l a G O
agelane	a G E l a n E
agelanego	a G E l a n E G O
agele	a G E l E
ageleditšwe	a G E l E l` i tS> w E
ageleditšwego	a G E l E l` i tS> w E G O
agelela	a G E l E l a
agelelwa	a G E l E l w a
ageletša	a G E l E tS> a
ageletše	a G E l E tS> E
ageletšwa	a G E l E tS> w a
ageletšwe	a G E l E tS> w E
agelwa	a G E l w a
agelwe	a G E l w E
ageng	a G E N
agente	a G E n t> E
agetše	a G E tS> E
agetšwe	a G E tS> w E
agetšwego	a G E tS> w E G O
agilego	a G i l E G O
agilwe	a G i l w E
agilwego	a G i l w E G O
agiša	a G i S a
agišana	a G i S a n a
agišane	a G i S a n E
agiše	a G i S E
agišwa	a G i S w a
agiwa	a G i w a
agiwago	a G i w a G O
agwa	a G w a
agwago	a G w a G O
agwe	a G w E
ahlaahla	a K a a K a
ahlaahlago	a K a a K a G O
ahlaahlang	a K a a K a N
ahlaahle	a K a a K E
ahlaahlile	a K a a K i l E
ahlaahlilwe	a K a a K i l w E
ahlaahlilwego	a K a a K i l w E G O
ahlaahlwa	a K a a K w a
ahlaahlwago	a K a a K w a G O
