can't	k> a n t>
don't	d O n t>
cox	k> O k> s
sox	s O k> s
zip	s i p>
zen	s E n
ven	b E n
vin	b i n
quick	k> w i k>
quin	k> w i n
quilt	k> w i l t>
aba	a b a
abang	a b a N
abela	a b E l a
abelana	a b E l a n a
abelanang	a b E l a n a N
abelane	a b E l a n E
abelaneng	a b E l a n E N
abelang	a b E l a N
abelanwa	a b E l a n w a
abelanwang	a b E l a n w a N
abelela	a b E l E l a
abelwa	a b E l w a
abelwang	a b E l w a N
abelwe	a b E l w E
abetse	a b E ts> E
abetseng	a b E ts> E N
abetswe	a b E ts> w E
abetsweng	a b E ts> w E N
abile	a b i l E
abileng	a b i l E N
abilwe	a b i l w E
abilweng	a b i l w E N
abiwa	a b i w a
abiwang	a b i w a N
abiwe	a b i w E
abuti	a b u t> i
adile	a d i l E
adilwe	a d i l w E
adilweng	a d i l w E N
adima	a d i m a
adimana	a d i m a n a
adimang	a d i m a N
adime	a d i m E
adimela	a d i m E l a
adimetsweng	a d i m E ts> w E N
adimile	a d i m i l E
adimileng	a d i m i l E N
adimilwe	a d i m i l w E
adimilweng	a d i m i l w E N
adimisa	a d i m i s a
adimisana	a d i m i s a n a
adimisanang	a d i m i s a n a N
adimisang	a d i m i s a N
adimiwa	a d i m i w a
adimiwang	a d i m i w a N
afe	a f E
aga	a x a
agang	a x a N
agega	a x E x a
agegeng	a x E x E N
agegileng	a x E x i l E N
agela	a x E l a
agelang	a x E l a N
ageleditsweng	a x E l E d i ts> w E N
agelela	a x E l E l a
agelelang	a x E l E l a N
agelelweng	a x E l E l w E N
ageletsweng	a x E l E ts> w E N
agelwa	a x E l w a
agelwang	a x E l w a N
ageng	a x E N
agente	a x E n t> E
agetse	a x E ts> E
agetswe	a x E ts> w E
agileng	a x i l E N
agilwe	a x i l w E
agilweng	a x i l w E N
agisana	a x i s a n a
agisanang	a x i s a n a N
agiwa	a x i w a
agiwang	a x i w a N
agiwe	a x i w E
agwa	a x w a
agwang	a x w a N
ahaa	a h a a
ahee	a h E E
ai	a i
aitsane	a i ts> a n E
aka	a k> a
akabatsang	a k> a b a ts> a N
akangwa	a k> a N w a
akangwang	a k> a N w a N
akanngwa	a k> a n N w a
akanngwang	a k> a n N w a N
akanngwe	a k> a n N w E
akantse	a k> a n ts> E
akantseng	a k> a n ts> E N
akantshiwang	a k> a n tsh i w a N
akantswe	a k> a n ts> w E
akantsweng	a k> a n ts> w E N
akanya	a k> a J a
akanyang	a k> a J a N
akanye	a k> a J E
akanyeditse	a k> a J E d i ts> E
akanyeditseng	a k> a J E d i ts> E N
akanyeditswe	a k> a J E d i ts> w E
akanyeditsweng	a k> a J E d i ts> w E N
akanyediwa	a k> a J E d i w a
akanyediwang	a k> a J E d i w a N
akanyeng	a k> a J E N
akanyetsa	a k> a J E ts> a
akanyetse	a k> a J E ts> E
akanyetseng	a k> a J E ts> E N
akanyetswa	a k> a J E ts> w a
akareditse	a k> a r E d i ts> E
akareditseng	a k> a r E d i ts> E N
akareditswe	a k> a r E d i ts> w E
akareditsweng	a k> a r E d i ts> w E N
akarediwa	a k> a r E d i w a
akarediwang	a k> a r E d i w a N
akarediwe	a k> a r E d i w E
akarediweng	a k> a r E d i w E N
akaretsa	a k> a r E ts> a
akaretsang	a k> a r E ts> a N
akaretse	a k> a r E ts> E
akaretsega	a k> a r E ts> E x a
akaretseng	a k> a r E ts> E N
akaretswa	a k> a r E ts> w a
akaretswe	a k> a r E ts> w E
ake	a k> E
akeretsa	a k> E r E ts> a
aketsa	a k> E ts> a
akga	a kx a
akgegang	a kx E x a N
akgela	a kx E l a
akgele	a kx E l E
akgelwe	a kx E l w E
akgiwang	a kx i w a N
akgola	a kx O l a
akgolela	a kx O l E l a
akgolelwa	a kx O l E l w a
akgoleng	a kx O l E N
akgolwa	a kx O l w a
akgotse	a kx O ts> E
akgwa	a kx w a
akhaonto	a kh a O n t> O
akhaontong	a kh a O n t> O N
akofa	a k> O f a
akola	a k> O l a
ala	a l a
alafa	a l a f a
alafang	a l a f a N
alafega	a l a f E x a
alafegang	a l a f E x a N
alafegeng	a l a f E x E N
alafela	a l a f E l a
alafelwa	a l a f E l w a
alafesega	a l a f E s E x a
alafilweng	a l a f i l w E N
alafiwa	a l a f i w a
alafiwe	a l a f i w E
alefabete	a l E f a b E t> E
alekhoholo	a l E kh O h O l O
alela	a l E l a
alelwa	a l E l w a
alemanaka	a l E m a n a k> a
alemanakeng	a l E m a n a k> E N
aloga	a l O x a
alogile	a l O x i l E
ama	a m a
amana	a m a n a
amanang	a m a n a N
amane	a m a n E
amaneng	a m a n E N
amang	a m a N
amanngwa	a m a n N w a
amanngwang	a m a n N w a N
amanya	a m a J a
amanyang	a m a J a N
ame	a m E
amega	a m E x a
amegang	a m E x a N
amege	a m E x E
amegeng	a m E x E N
amegile	a m E x i l E
amegileng	a m E x i l E N
amela	a m E l a
ameng	a m E N
amileng	a m i l E N
amilwe	a m i l w E
amilweng	a m i l w E N
amiwa	a m i w a
amiwang	a m i w a N
ammaaruri	a m m a r u r i
amoga	a m O x a
amogana	a m O x a n a
amoganwa	a m O x a n w a
amoganwang	a m O x a n w a N
amoganwe	a m O x a n w E
amoganweng	a m O x a n w E N
amoge	a m O x E
amogedisa	a m O x E d i s a
amogedisiwa	a m O x E d i s i w a
amogela	a m O x E l a
amogelana	a m O x E l a n a
amogelang	a m O x E l a N
amogele	a m O x E l E
amogelega	a m O x E l E x a
amogelegang	a m O x E l E x a N
amogelege	a m O x E l E x E
amogelegeng	a m O x E l E x E N
amogelegileng	a m O x E l E x i l E N
amogeleng	a m O x E l E N
amogelese	a m O x E l E s E
amogelesega	a m O x E l E s E x a
amogelesegang	a m O x E l E s E x a N
amogelesege	a m O x E l E s E x E
amogelesegeng	a m O x E l E s E x E N
amogelesegile	a m O x E l E s E x i l E
amogelesegileng	a m O x E l E s E x i l E N
amogeleseng	a m O x E l E s E N
amogelwa	a m O x E l w a
amogelwang	a m O x E l w a N
amogelwe	a m O x E l w E
amogetsana	a m O x E ts> a n a
amogetse	a m O x E ts> E
amogetseng	a m O x E ts> E N
amogetswe	a m O x E ts> w E
amogetsweng	a m O x E ts> w E N
amogilweng	a m O x i l w E N
amogiwa	a m O x i w a
amogwa	a m O x w a
amusa	a m u s a
ana	a n a
anaanela	a n a n E l a
anaanya	a n a J a
anama	a n a m a
anamang	a n a m a N
aname	a n a m E
anamela	a n a m E l a
anameng	a n a m E N
anametse	a n a m E ts> E
anamisa	a n a m i s a
anamisang	a n a m i s a N
anamise	a n a m i s E
anamiseng	a n a m i s E N
anamisiwa	a n a m i s i w a
anamisiwang	a n a m i s i w a N
anang	a n a N
ananngwa	a n a n N w a
ananya	a n a J a
anega	a n E x a
anela	a n E l a
anelang	a n E l a N
anele	a n E l E
anelwa	a n E l w a
anetse	a n E ts> E
anetseng	a n E ts> E N
angwa	a N w a
angwang	a N w a N
ano	a n O
antsha	a n tsh a
anya	a J a
anyang	a J a N
anyeng	a J E N
anyisa	a J i s a
ao	a O
apaapa	a p> a p> a
apara	a p> a r a
aparang	a p> a r a N
apare	a p> a r E
apareteiti	a p> a r E t> E i t> i
aparetse	a p> a r E ts> E
aparetseng	a p> a r E ts> E N
aparetswe	a p> a r E ts> w E
aparo	a p> a r O
aparwa	a p> a r w a
apaya	a p> a j a
apayang	a p> a j a N
apeega	a p> E E x a
apeela	a p> E E l a
apeelang	a p> E E l a N
apeele	a p> E E l E
apeetsweng	a p> E E ts> w E N
apeile	a p> E i l E
apeilweng	a p> E i l w E N
apere	a p> E r E
apereng	a p> E r E N
aperweng	a p> E r w E N
apesa	a p> E s a
apesitswe	a p> E s i ts> w E
apesitsweng	a p> E s i ts> w E N
apesiwa	a p> E s i w a
apeswa	a p> E s w a
apewang	a p> E w a N
apewe	a p> E w E
apola	a p> O l a
apolele	a p> O l E l E
apotse	a p> O ts> E
araba	a r a b a
arabang	a r a b a N
arabe	a r a b E
arabela	a r a b E l a
arabelang	a r a b E l a N
arabele	a r a b E l E
arabelwa	a r a b E l w a
arabile	a r a b i l E
arabisanya	a r a b i s a J a
arabiwa	a r a b i w a
arabiwang	a r a b i w a N
