tsebe	ts> E b E
melatong	m E l a t> O N
selebalo	s E l E b a l O
fitlhelwe	f i tlh E l w E
bologamaano	b O l O x a m a n O
patlisiso	p> a tl> i s i s O
tlhokomeleng	tlh O k> O m E l E N
boratšhe	b O r a tSh E
metswe	m E ts> w E
koporo	k> O p> O r O
bulegileng	b u l E x i l E N
molotlhanyi	m O l O tlh a J i
makeišeneng	m a k> E i S E n E N
goboka	x O b O k> a
rerang	r E r a N
dikolobe	d i k> O l O b E
robetswe	r O b E ts> w E
itlhaotseng	i tlh a O ts> E N
ntsoma	n ts> O m a
ipatlelang	i p> a tl> E l a N
rute	r u t> E
mmiletsang	m m i l E ts> a N
lepalepane	l E p> a l E p> a n E
molaleng	m O l a l E N
gile	x i l E
lekola	l E k> O l a
dipoleo	d i p> O l E O
mapetla	m a p> E tl> a
phaposi	ph a p> O s i
gatoga	x a t> O x a
thatafaletsang	th a t> a f a l E ts> a N
dibalate	d i b a l a t> E
mosidi	m O s i d i
tshwaeditsweng	tsh w a E d i ts> w E N
ntshwa	n tsh w a
mofetoleding	m O f E t> O l E d i N
kgodisa	kx O d i s a
pakiwang	p> a k> i w a N
kgaotsong	kx a O ts> O N
bontsi	b O n ts> i
sekaseke	s E k> a s E k> E
tloseng	tl> O s E N
tlhalo	tlh a l O
lebanta	l E b a n t> a
tlhoro	tlh O r O
rebolelang	r E b O l E l a N
adimilwe	a d i m i l w E
sekeresete	s E k> E r E s E t> E
pheto	ph E t> O
gannye	x a n J E
toloki	t> O l O k> i
otlhe	O tlh E
basimanyana	b a s i m a J a n a
kobotlong	k> O b O tl> O N
bogodung	b O x O d u N
ipaya	i p> a j a
kwadiwang	k> w a d i w a N
akanyetswa	a k> a J E ts> w a
thulano	th u l a n O
rulaganeng	r u l a x a n E N
botsa	b O ts> a
meleng	m E l E N
bobatlisisi	b O b a tl> i s i s i
atlhotse	a tlh O ts> E
thaa	th a a
bannaleseabeng	b a n n a l E s E a b E N
tseleng	ts> E l E N
bosetlha	b O s E tlh a
tsibogele	ts> i b O x E l E
tlhangwang	tlh a N w a N
inaakanye	i n a k> a J E
lokologe	l O k> O l O x E
polotiki	p> O l O t> i k> i
kang	k> a N
tlhaolesegileng	tlh a O l E s E x i l E N
kgora	kx O r a
mothomolaong	m O th O m O l a O N
babolai	b a b O l a i
ditlamo	d i tl> a m O
tshisimogo	tsh i s i m O x O
boboa	b O b O a
itatlhela	i t> a tlh E l a
tsibositse	ts> i b O s i ts> E
bakileng	b a k> i l E N
legotlo	l E x O tl> O
tlhalosega	tlh a l O s E x a
senole	s E n O l E
pusoselegaeng	p> u s O s E l E x a E N
dithunyi	d i th u J i
boitshega	b O i tsh E x a
ditlamoragong	d i tl> a m O r a x O N
rutiwe	r u t> i w E
tloswe	tl> O s w E
tsokaneng	ts> O k> a n E N
thomelontle	th O m E l O n tl> E
fudusa	f u d u s a
lefelwa	l E f E l w a
phepafadiwe	ph E p> a f a d i w E
sephiri	s E ph i r i
togamaano	t> O x a m a n O
selwaneng	s E l w a n E N
mometsong	m O m E ts> O N
gapeletsega	x a p> E l E ts> E x a
katlholelopele	k> a tlh O l E l O p> E l E
morwae	m O r w a E
mmannete	m m a n n E t> E
tshwarisa	tsh w a r i s a
kganeloketso	kx a n E l O k> E ts> O
