bowa	b O w a
vin	b i n
moloreng	m O l O r E N
thadisa	th a d i s a
aketsa	a k> E ts> a
akantswe	a k> a n ts> w E
dibankeng	d i b a n k> E N
njesa	n d0Z E s a
fitlhelesegang	f i tlh E l E s E x a N
mogapatiro	m O x a p> a t> i r O
batlamoletlong	b a tl> a m O l E tl> O N
boikobo	b O i k> O b O
sebako	s E b a k> O
ketekwa	k> E t> E k> w a
dikhumo	d i kh u m O
mmopo	m m O p> O
setoto	s E t> O t> O
setshegonyana	s E tsh E x O J a n a
bopang	b O p> a N
bagwebisani	b a x w E b i s a n i
khutliseng	kh u tl> i s E N
kgapelo	kx a p> E l O
kile	k> i l E
mmileng	m m i l E N
arola	a r O l a
arologanye	a r O l O x a J E
matseleng	m a ts> E l E N
kopakopaneng	k> O p> a k> O p> a n E N
boikanyego	b O i k> a J E x O
utlwise	u tl> w i s E
folositswe	f O l O s i ts> w E
katlholelo	k> a tlh O l E l O
tswetseng	ts> w E ts> E N
kontinenteng	k> O n t> i n E n t> E N
kuranta	k> u r a n t> a
akareditse	a k> a r E d i ts> E
sekgoropeng	s E kx O r O p> E N
phuthegong	ph u th E x O N
malatlha	m a l a tlh a
pong	p> O N
ipoka	i p> O k> a
lekanyediwang	l E k> a J E d i w a N
longwe	l O N w E
nonofo	n O n O f O
boditse	b O d i ts> E
tshupo	tsh u p> O
nyale	J a l E
kemelano	k> E m E l a n O
boingotlo	b O i N O tl> O
phatsimela	ph a ts> i m E l a
malolo	m a l O l O
bolelo	b O l E l O
tla	tl> a
ala	a l a
lomiwa	l O m i w a
mainatota	m a i n a t> O t> a
makatsang	m a k> a ts> a N
mmangwana	m m a N w a n a
pateletse	p> a t> E l E ts> E
godisetsa	x O d i s E ts> a
phuruphutsa	ph u r u ph u ts> a
matepe	m a t> E p> E
ntshoganyeditse	n tsh O x a J E d i ts> E
felo	f E l O
lelana	l E l a n a
matsalaagwe	m a ts> a l a x w E
kgatelelo	kx a t> E l E l O
ponelopeleng	p> O n E l O p> E l E N
metso	m E ts> O
boitlhamedi	b O i tlh a m E d i
setseng	s E ts> E N
fodise	f O d i s E
kaleditsweng	k> a l E d i ts> w E N
pente	p> E n t> E
mosepedi	m O s E p> E d i
golegwa	x O l E x w a
kereke	k> E r E k> E
pegwe	p> E x w E
letlanya	l E tl> a J a
dikarata	d i k> a r a t> a
umaka	u m a k> a
felelwang	f E l E l w a N
ika	i k> a
tokomane	t> O k> O m a n E
gololang	x O l O l a N
ditlhaka	d i tlh a k> a
atologa	a t> O l O x a
rakonteraka	r a k> O n t> E r a k> a
tsidifaditswe	ts> i d i f a d i ts> w E
iphileng	i ph i l E N
gatile	x a t> i l E
tsamaisiwe	ts> a m a i s i w E
thutatshelo	th u t> a tsh E l O
dintweng	d i n t> w E N
bomaitsegotlhe	b O m a i ts> E x O tlh E
setse	s E ts> E
nonotshitsweng	n O n O tsh i ts> w E N
bogologolotala	b O x O l O x O l O t> a l a
ntirela	n t> i r E l a
laletseng	l a l E ts> E N
tseele	ts> E E l E
sefane	s E f a n E
difolete	d i f O l E t> E
nonyane	n O J a n E
letha	l E th a
tlhoile	tlh O i l E
borekisetso	b O r E k> i s E ts> O
thuthafala	th u th a f a l a
dirisitsweng	d i r i s i ts> w E N
itekanelong	i t> E k> a n E l O N
banaka	b a n a k> a
tlhatlogetse	tlh a tl> O x E ts> E
ikopa	i k> O p> a
bodipa	b O d i p> a
gonne	x O n n E
ngongoregong	N O N O r E x O N
ntlhatharong	n tlh a th a r O N
letlelesegile	l E tl> E l E s E x i l E
ngala	N a l a
botla	b O tl> a
itshwarela	i tsh w a r E l a
dintsho	d i n tsh O
akofa	a k> O f a
neelana	n E E l a n a
jetswe	d0Z E ts> w E
batlele	b a tl> E l E
fokoditse	f O k> O d i ts> E
ikgalala	i kx a l a l a
diabe	d i a b E
tshwayang	tsh w a j a N
poresidente	p> O r E s i d E n t> E
gosele	x O s E l E
tshegare	tsh E x a r E
itaagana	i t> a x a n a
rekisediwang	r E k> i s E d i w a N
tlogelwe	tl> O x E l w E
meno	m E n O
tsweleng	ts> w E l E N
tlhotlhomisitsweng	tlh O tlh O m i s i ts> w E N
tlhakanyo	tlh a k> a J O
dirori	d i r O r i
moengele	m O E N x E l E
tswedisa	ts> w E d i s a
nota	n O t> a
nteofetse	n t> E O f E ts> E
tatelang	t> a t> E l a N
tlotlang	tl> O tl> a N
matlhophi	m a tlh O ph i
potlakisiwa	p> O tl> a k> i s i w a
tlosa	tl> O s a
etleeditse	E tl> E E d i ts> E
mananeong	m a n a n E O N
boaka	b O a k> a
lenaaneng	l E n a n E N
tshamekela	tsh a m E k> E l a
bophareng	b O ph a r E N
netse	n E ts> E
nkopile	n k> O p> i l E
bodiredipusong	b O d i r E d i p> u s O N
can't	k> a n t>
letlotla	l E tl> O tl> a
sebakanyana	s E b a k> a J a n a
bopelotlhomogi	b O p> E l O tlh O m O x i
karogo	k> a r O x O
mmolai	m m O l a i
maikalelo	m a i k> a l E l O
itsiwang	i ts> i w a N
kgodu	kx O d u
latlhagantsweng	l a tlh a x a n ts> w E N
kgatlhantshiwa	kx a tlh a n tsh i w a
begang	b E x a N
nopole	n O p> O l E
letsenong	l E ts> E n O N
basa	b a s a
tenegile	t> E n E x i l E
kwala	k> w a l a
ipelaela	i p> E l a E l a
tshotlakako	tsh O tl> a k> a k> O
tsereganye	ts> E r E x a J E
