'em	@ m
'neath	n i: T
'shun	S a n
'twas	t w Q z
'tween	t w i: n
'twere	t w 3: r\
'twill	t w @ l
'twixt	t w i k s t
'twould	t w U d
'un	@ n
a	@
a's	@i z
aachen	A: k @ n
aarhus	A: h\ u: s
aaron	@i r\ @ n
abaci	{ b @ s ai
aback	@ b { k
abacus	{ b @ k @ s
abacuses	{ b @ k @ s @ s
abaft	@ b A: f t
abandon	@ b { n d @ n
abandoned	@ b { n d @ n d
abandoning	@ b { n d @ n i N
abandonment	@ b { n d @ n m @ n t
abandons	@ b { n d @ n z
abase	@ b @i s
abased	@ b @i s t
abasement	@ b @i s m @ n t
abases	@ b @i s @ s
abash	@ b { S
abashed	@ b { S t
abashes	@ b { S @ z
abashing	@ b { S i N
abasing	@ b @i s i N
abate	@ b @i t
abated	@ b @i t @ d
abatement	@ b @i t m @ n t
abates	@ b @i t s
abating	@ b @i t i N
abattoir	{ b @ t w A: r\
abattoirs	{ b @ t w A: z
abbess	{ b E s
abbesses	{ b E s @ s
abbey	{ b i
abbeys	{ b i z
abbot	{ b @ t
abbots	{ b @ t s
abbreviate	@ b r\ i: v i @i t
abbreviated	@ b r\ i: v i @i t @ d
abbreviates	@ b r\ i: v i @i t s
abbreviating	@ b r\ i: v i @i t i N
abbreviation	@ b r\ i: v i @i S @ n
abbreviations	@ b r\ i: v i @i S @ n z
abdicate	{ b d i k @i t
abdicated	{ b d i k @i t @ d
abdicates	{ b d i k @i t s
abdicating	{ b d i k @i t i N
abdication	{ b d i k @i S @ n
abdications	{ b d i k @i S @ n z
abdomen	{ b d @ m @ n
abdomens	{ b d @ m @ n z
abdominal	{ b d Q m @ n @ l
abduct	{ b d a k t
abducted	{ b d a k t @ d
abducting	{ b d a k t i N
abduction	{ b d a k S @ n
abductions	{ b d a k S @ n z
abducts	{ b d a k t s
abe	@i b
abeam	@ b i: m
abed	@ b E d
abel	@i b @ l
abercarn	{ b @ k A: n
aberdare	{ b @ d e@ r\
aberdeen	{ b @ d i: n
abergavenny	{ b @ g @ v E n i
abergele	{ b @ g E l i
aberrant	{ b E r\ @ n t
aberration	{ b @ r\ @i S @ n
aberrations	{ b @ r\ @i S @ n z
abertillery	{ b @ t i l e@ r\ i
aberystwyth	{ b @ r\ @ s t w @ T
abet	@ b E t
abets	@ b E t s
abetted	@ b E t @ d
abetting	@ b E t i N
abeyance	@ b @i @ n s
abhor	@ b h\ O: r\
abhorred	@ b h\ O: d
abhorrence	@ b h\ Q r\ @ n s
abhorrent	@ b h\ Q r\ @ n t
abhorring	@ b h\ O: r\ i N
abhors	@ b h\ O: z
abide	@ b ai d
abided	@ b ai d @ d
abides	@ b ai d z
abiding	@ b ai d i N
abilities	@ b i l i t i z
ability	@ b i l i t i
abingdon	{ b i N d @ n
abject	{ b d0Z E k t
abjection	{ b d0Z E k S @ n
abjections	{ b d0Z E k S @ n z
abjectly	{ b d0Z E k t l i
abjuration	{ b d0Z u@ r\ @i S @ n
abjurations	{ b d0Z u@ r\ @i S @ n z
abjure	@ b d0Z u@ r\
abjured	@ b d0Z u@ d
abjures	@ b d0Z u@ z
abjuring	@ b d0Z u@ r\ i N
ablative	{ b l @ t @ v
ablatives	{ b l @ t @ v z
ablaut	{ b l au t
ablauts	{ b l au t s
ablaze	@ b l @i z
able	@i b @ l
abler	@i b l @ r\
ablest	@i b l @ s t
ablution	@ b l u: S @ n
ablutions	@ b l u: S @ n z
ably	@i b l i
abnegation	{ b n @ g @i S @ n
abnormal	{ b n O: m @ l
abnormalities	{ b n O: m { l i t i z
abnormality	{ b n O: m { l i t i
abnormally	{ b n O: m @ l i
abo	{ b @u
aboard	@ b O: d
abode	@ b @u d
abodes	@ b @u d z
abolish	@ b Q l i S
abolished	@ b Q l i S t
abolishes	@ b Q l i S @ z
abolishing	@ b Q l i S i N
abolition	{ b @ l i S @ n
abolitionist	{ b @ l i S @ n @ s t
abolitionists	{ b @ l i S @ n @ s t s
abominable	@ b Q m @ n @ b @ l
abominably	@ b Q m @ n @ b l i
abominate	@ b Q m @ n @i t
abominated	@ b Q m @ n @i t @ d
abominates	@ b Q m @ n @i t s
abominating	@ b Q m @ n @i t i N
abomination	@ b Q m @ n @i S @ n
abominations	@ b Q m @ n @i S @ n z
aboriginal	{ b @ r\ i d0Z @ n @ l
aboriginals	{ b @ r\ i d0Z @ n @ l z
aborigine	{ b @ r\ i d0Z @ n i
aborigines	{ b @ r\ i d0Z @ n @ z
abort	@ b O: t
aborted	@ b O: t @ d
aborting	@ b O: t i N
abortion	@ b O: S @ n
abortionist	@ b O: S @ n @ s t
abortionists	@ b O: S @ n @ s t s
abortions	@ b O: S @ n z
abortive	@ b O: t @ v
abortively	@ b O: t @ v l i
aborts	@ b O: t s
abos	{ b @u z
abound	@ b au n d
abounded	@ b au n d @ d
abounding	@ b au n d i N
abounds	@ b au n d z
about	@ b au t
above	@ b a v
abracadabra	{ b r\ @ k @ d { b r\ @
abrade	@ b r\ @i d
abraded	@ b r\ @i d @ d
abrades	@ b r\ @i d z
abrading	@ b r\ @i d i N
abraham	@i b r\ @ h\ { m
abrams	@i b r\ @ m z
abramson	@i b r\ @ m s @ n
abrasion	@ b r\ @i Z @ n
abrasions	@ b r\ @i Z @ n z
abrasive	@ b r\ @i s @ v
abrasives	@ b r\ @i s @ v z
abreast	@ b r\ E s t
abridge	@ b r\ i d0Z
abridged	@ b r\ i d0Z d
abridgement	@ b r\ i d0Z m @ n t
abridgements	@ b r\ i d0Z m @ n t s
abridges	@ b r\ i d0Z @ z
abridging	@ b r\ i d0Z i N
abridgment	@ b r\ i d0Z m @ n t
abridgments	@ b r\ i d0Z m @ n t s
abroad	@ b r\ O: d
abrogate	{ b r\ @ g @i t
abrogated	{ b r\ @ g @i t @ d
abrogates	{ b r\ @ g @i t s
abrogating	{ b r\ @ g @i t i N
abrogation	{ b r\ @ g @i S @ n
abrogations	{ b r\ @ g @i S @ n z
abrupt	@ b r\ a p t
abruptly	@ b r\ a p t l i
abruptness	@ b r\ a p t n @ s
abscess	{ b s E s
abscesses	{ b s E s @ s
abscond	@ b s k Q n d
absconded	@ b s k Q n d @ d
absconding	@ b s k Q n d i N
absconds	@ b s k Q n d z
absence	{ b s @ n s
absences	{ b s @ n s @ s
absent	{ b s @ n t
absented	@ b s E n t @ d
absentee	{ b s @ n t i
absenteeism	{ b s @ n t i: @ z @ m
absentees	{ b s @ n t i: z
absenting	@ b s E n t i N
absently	{ b s @ n t l i
absents	@ b s E n t s
absinth	{ b s @ n T
absinthe	{ b s @ n T
absolute	{ b s @ l u: t
absolutely	{ b s @ l u: t l i
absolution	{ b s @ l u: S @ n
absolutism	{ b s @ l u: t @ z @ m
absolve	@ b z Q l v
absolved	@ b z Q l v d
absolves	@ b z Q l v z
absolving	@ b z Q l v i N
absorb	@ b s O: b
absorbed	@ b s O: b d
absorbent	@ b s O: b @ n t
absorbents	@ b s O: b @ n t s
absorbing	@ b s O: b i N
absorbs	@ b s O: b z
absorption	@ b s O: p S @ n
abstain	@ b s t @i n
abstained	@ b s t @i n d
abstainer	@ b s t @i n @ r\
abstainers	@ b s t @i n @ z
abstaining	@ b s t @i n i N
abstains	@ b s t @i n z
abstemious	@ b s t i: m i@ s
abstemiously	@ b s t i: m i@ s l i
abstemiousness	@ b s t i: m i@ s n @ s
abstention	@ b s t E n S @ n
abstentions	@ b s t E n S @ n z
abstinence	{ b s t @ n @ n s
abstract	{ b s t r\ { k t
abstracted	@ b s t r\ { k t @ d
abstractedly	@ b s t r\ { k t @ d l i
abstracting	@ b s t r\ { k t i N
abstraction	@ b s t r\ { k S @ n
abstractions	@ b s t r\ { k S @ n z
abstracts	{ b s t r\ { k t s
abstruse	@ b s t r\ u: s
abstrusely	@ b s t r\ u: s l i
abstruseness	@ b s t r\ u: s n @ s
absurd	@ b s 3: d
absurdities	@ b s 3: d i t i z
absurdity	@ b s 3: d i t i
absurdly	@ b s 3: d l i
abu	{ b u:
abundance	@ b a n d @ n s
abundant	@ b a n d @ n t
abundantly	@ b a n d @ n t l i
abuse	@ b j u: s
abused	@ b j u: z d
abuses	@ b j u: s @ s
abusing	@ b j u: z i N
abusive	@ b j u: s @ v
abusively	@ b j u: s @ v l i
abut	@ b a t
abutment	@ b a t m @ n t
abutments	@ b a t m @ n t s
abuts	@ b a t s
abutted	@ b a t @ d
abutting	@ b a t i N
abysm	@ b @ z @ m
abysmal	@ b @ z m @ l
abysmally	@ b @ z m @ l i
abysms	@ b @ z @ m z
abyss	@ b @ s
abysses	@ b @ s @ s
acacia	@ k @i S @
acacias	@ k @i S @ z
academe	{ k @ d i: m
academia	{ k @ d i: m i @
academic	{ k @ d E m i k
academically	{ k @ d E m i k l i
academicals	{ k @ d E m i k @ l z
academician	@ k { d @ m i S @ n
academicians	@ k { d @ m i S @ n z
academics	{ k @ d E m i k s
academies	@ k { d @ m i z
academy	@ k { d @ m i
acadia	@ k @i d i @
accede	@ k s i: d
acceded	@ k s i: d @ d
accedes	@ k s i: d z
acceding	@ k s i: d i N
accelerando	{ k s E l @ r\ { n d @u
accelerandos	{ k s E l @ r\ { n d @u z
accelerate	@ k s E l @ r\ @i t
accelerated	@ k s E l @ r\ @i t @ d
accelerates	@ k s E l @ r\ @i t s
accelerating	@ k s E l @ r\ @i t i N
